Frecuencia	Fecha
3	24/01/2020
1	6/01/2020
1	6/01/2020
3	6/01/2020
2	17/01/2020
2	11/01/2020
15	26/01/2020
3	6/01/2020
2	17/01/2020
7	5/01/2020
30	9/01/2020
1	19/01/2020
2	9/01/2020
4	19/01/2020
2	2/01/2020
2	18/01/2020
1	22/01/2020
7	2/01/2020
2	5/01/2020
2	18/01/2020
6	19/01/2020
3	7/01/2020
8	4/01/2020
13	26/01/2020
1	6/01/2020
2	6/01/2020
3	23/01/2020
3	18/01/2020
5	11/01/2020
7	25/01/2020
3	6/01/2020
2	24/01/2020
4	6/01/2020
5	2/01/2020
3	6/01/2020
3	24/01/2020
4	23/01/2020
1	17/01/2020
4	25/01/2020
30	9/01/2020
12	25/01/2020
2	11/01/2020
7	19/01/2020
1	10/01/2020
10	26/01/2020
1	8/01/2020
5	23/01/2020
2	5/01/2020
6	14/01/2020
4	19/01/2020
4	3/01/2020
2	29/01/2020
3	19/01/2020
12	25/01/2020
3	21/01/2020
1	31/01/2020
2	11/01/2020
1	11/01/2020
7	5/01/2020
1	20/01/2020
2	14/01/2020
3	19/01/2020
2	29/01/2020
1	15/01/2020
4	2/01/2020
1	29/01/2020
3	25/01/2020
3	25/01/2020
10	24/01/2020
5	27/01/2020
3	6/01/2020
12	9/01/2020
4	1/01/2020
5	8/01/2020
4	6/01/2020
2	15/01/2020
10	29/01/2020
2	11/01/2020
7	25/01/2020
2	14/01/2020
4	19/01/2020
2	18/01/2020
1	6/01/2020
7	5/01/2020
4	13/01/2020
3	20/01/2020
4	17/01/2020
1	29/01/2020
1	25/01/2020
5	26/01/2020
1	25/01/2020
1	23/01/2020
6	15/01/2020
3	15/01/2020
5	6/01/2020
12	25/01/2020
3	6/01/2020
3	15/01/2020
5	6/01/2020
1	16/01/2020
6	12/01/2020
3	20/01/2020
5	6/01/2020
7	5/01/2020
25	14/01/2020
15	26/01/2020
4	10/01/2020
3	20/01/2020
3	6/01/2020
4	3/01/2020
4	13/01/2020
3	19/01/2020
1	11/01/2020
1	26/01/2020
2	5/01/2020
4	3/01/2020
6	19/01/2020
2	7/01/2020
1	19/01/2020
2	18/01/2020
6	13/01/2020
4	19/01/2020
5	2/01/2020
4	19/01/2020
2	5/01/2020
5	25/01/2020
8	21/01/2020
2	18/01/2020
5	6/01/2020
1	6/01/2020
5	25/01/2020
5	8/01/2020
5	8/01/2020
1	29/01/2020
7	14/01/2020
2	11/01/2020
13	26/01/2020
5	2/01/2020
1	15/01/2020
3	6/01/2020
7	5/01/2020
3	6/01/2020
2	18/01/2020
3	2/01/2020
5	25/01/2020
3	6/01/2020
1	1/01/2020
8	5/01/2020
10	21/01/2020
3	6/01/2020
3	31/01/2020
10	24/01/2020
3	19/01/2020
13	11/01/2020
2	23/01/2020
2	10/01/2020
2	11/01/2020
6	27/01/2020
2	19/01/2020
3	17/01/2020
5	6/01/2020
1	5/01/2020
8	20/01/2020
2	25/01/2020
3	25/01/2020
1	6/01/2020
10	24/01/2020
5	25/01/2020
1	3/01/2020
7	2/01/2020
13	11/01/2020
4	6/01/2020
5	12/01/2020
1	1/01/2020
1	29/01/2020
8	21/01/2020
2	5/01/2020
7	5/01/2020
15	26/01/2020
2	20/01/2020
4	20/01/2020
3	25/01/2020
1	24/01/2020
4	19/01/2020
3	21/01/2020
6	12/01/2020
4	20/01/2020
18	8/01/2020
1	20/01/2020
2	25/01/2020
1	17/01/2020
5	23/01/2020
3	24/01/2020
3	11/01/2020
2	10/01/2020
8	13/01/2020
2	17/01/2020
1	19/01/2020
6	17/01/2020
8	27/01/2020
2	10/01/2020
1	6/01/2020
3	7/01/2020
1	5/01/2020
2	19/01/2020
2	9/01/2020
1	4/01/2020
7	14/01/2020
5	6/01/2020
6	4/01/2020
4	26/01/2020
1	25/01/2020
5	8/01/2020
3	18/01/2020
10	18/01/2020
3	19/01/2020
2	9/01/2020
1	6/01/2020
1	3/01/2020
5	29/01/2020
3	7/01/2020
1	23/01/2020
9	28/01/2020
9	7/01/2020
8	5/01/2020
3	6/01/2020
5	2/01/2020
5	2/01/2020
4	13/01/2020
4	25/01/2020
1	22/01/2020
4	13/01/2020
1	23/01/2020
6	19/01/2020
2	14/01/2020
6	19/01/2020
10	28/01/2020
4	25/01/2020
7	5/01/2020
7	5/01/2020
13	11/01/2020
1	29/01/2020
3	6/01/2020
